NtryRef;AcctIBAN;BookgDt;ValDt;Amt;Ccy;CdtDbtInd;BkTxCd;CdtrDbtrNm;CdtrDbtrIBAN;RmtInf;AddtlNtryInf;MCC
LENA-000000;CH4400700110001234567;2023-09-01;2023-09-01;1850.00;CHF;DBIT;PMNT-ICDT-STDO;Immobilien Verwaltung Seefeld AG;;;Dauerauftrag Miete Wohnung Josefstrasse 12;
LENA-000001;CH4400700110001234567;2023-09-01;2023-09-01;150.00;CHF;DBIT;PMNT-ICDT-STDO;Immobilien Verwaltung Seefeld AG;;;Dauerauftrag Einstellplatz Nr. 17;
LENA-000002;CH4400700110001234567;2023-09-04;2023-09-04;89.00;CHF;DBIT;PMNT-IDDT-ESDD;Update Fitness AG;;;LSV Update Fitness Abo;
LENA-000003;CH4400700110001234567;2023-09-04;2023-09-04;69.75;CHF;DBIT;PMNT-CCRD-POSD;Coiffeur Seefeld;;;Einkauf Coiffeur Seefeld Zürich Karte xxxx 4821;
LENA-000004;CH4400700110001234567;2023-09-04;2023-09-04;49.40;CHF;DBIT;PMNT-ICDT-ESCT;;;;TWINT *Sende an Sarah Keller;
LENA-000005;CH4400700110001234567;2023-09-04;2023-09-04;23.00;CHF;DBIT;PMNT-CCRD-POSD;Coop;;;Einkauf Coop Zürich HB Karte xxxx 4821;5411
LENA-000006;CH4400700110001234567;2023-09-05;2023-09-05;389.00;CHF;DBIT;PMNT-IDDT-ESDD;Helsana Versicherungen AG;;;LSV Prämie Grundversicherung 09/2023;
LENA-000007;CH4400700110001234567;2023-09-05;2023-09-05;19.85;CHF;DBIT;PMNT-ICDT-ESCT;;;;TWINT *Sende an Sarah Keller;
LENA-000008;CH4400700110001234567;2023-09-06;2023-09-06;10.35;CHF;DBIT;PMNT-CCRD-POSD;;;;TWINT *Bäckerei Hug;
LENA-000009;CH4400700110001234567;2023-09-07;2023-09-07;90.35;CHF;DBIT;PMNT-CCRD-POSD;Socar Tankstelle;;;Einkauf Socar Tankstelle Zürich Karte xxxx 4821;5541
LENA-000010;CH4400700110001234567;2023-09-07;2023-09-07;30.80;CHF;DBIT;PMNT-ICDT-ESCT;;;;TWINT *Sende an Sarah Keller;
LENA-000011;CH4400700110001234567;2023-09-07;2023-09-07;16.60;CHF;DBIT;PMNT-CCRD-POSD;;;;TWINT *Bäckerei Hug;
LENA-000012;CH4400700110001234567;2023-09-08;2023-09-08;65.55;CHF;DBIT;PMNT-CCRD-POSD;Aldi Suisse;;;Einkauf Aldi Suisse Zürich Karte xxxx 4821;5411
LENA-000013;CH4400700110001234567;2023-09-08;2023-09-08;49.90;CHF;DBIT;PMNT-IDDT-ESDD;Sunrise GmbH;;;LSV Sunrise Mobile Abo;
LENA-000014;CH4400700110001234567;2023-09-08;2023-09-08;37.40;CHF;DBIT;PMNT-CCRD-POSD;Denner;;;Einkauf Denner Winterthur Karte xxxx 4821;5411
LENA-000015;CH4400700110001234567;2023-09-08;2023-09-08;26.15;CHF;DBIT;PMNT-CCRD-POSD;Orell Füssli;;;Einkauf Orell Füssli Zürich Karte xxxx 4821;
LENA-000016;CH4400700110001234567;2023-09-11;2023-09-11;49.20;CHF;DBIT;PMNT-CCRD-POSD;Hallenbad City;;;Einkauf Hallenbad City Zürich Karte xxxx 4821;
LENA-000017;CH4400700110001234567;2023-09-11;2023-09-11;44.90;CHF;DBIT;PMNT-CCRD-POSD;Sushi Mania;;;Einkauf Sushi Mania Zürich Karte xxxx 4821;5812
LENA-000018;CH4400700110001234567;2023-09-11;2023-09-11;44.30;CHF;DBIT;PMNT-CCRD-POSD;Zeughauskeller;;;Einkauf Zeughauskeller Zürich Karte xxxx 4821;5812
LENA-000019;CH4400700110001234567;2023-09-12;2023-09-12;18.90;CHF;DBIT;PMNT-CCRD-POSD;Netflix International B.V.;;;Einkauf NETFLIX.COM Karte xxxx 4821;4899
LENA-000020;CH4400700110001234567;2023-09-12;2023-09-12;16.10;CHF;DBIT;PMNT-CCRD-POSD;Migros;;;Einkauf Migros Zürich Karte xxxx 4821;5411
LENA-000021;CH4400700110001234567;2023-09-13;2023-09-13;55.45;CHF;DBIT;PMNT-CCRD-POSD;Decathlon;;;Einkauf Decathlon Zürich Karte xxxx 4821;5651
LENA-000022;CH4400700110001234567;2023-09-13;2023-09-13;50.55;CHF;DBIT;PMNT-CCRD-POSD;Tibits;;;Einkauf Tibits Zürich Karte xxxx 4821;5812
LENA-000023;CH4400700110001234567;2023-09-13;2023-09-13;35.30;CHF;DBIT;PMNT-CCRD-POSD;Kino Arena;;;Einkauf Kino Arena Zürich Karte xxxx 4821;
LENA-000024;CH4400700110001234567;2023-09-13;2023-09-13;15.85;CHF;CRDT;PMNT-RCDT-ESCT;;;;TWINT *Empfangen von Luca Bernasconi;
LENA-000025;CH4400700110001234567;2023-09-14;2023-09-14;70.60;CHF;DBIT;PMNT-CCRD-POSD;Migros;;;Einkauf Migros Zürich HB Karte xxxx 4821;5411
LENA-000026;CH4400700110001234567;2023-09-14;2023-09-14;43.45;CHF;DBIT;PMNT-CCRD-POSD;Coop;;;Einkauf Coop Zürich Karte xxxx 4821;5411
LENA-000027;CH4400700110001234567;2023-09-15;2023-09-15;459.00;CHF;DBIT;PMNT-IDDT-ESDD;AMAG Leasing AG;;;Lastschrift Leasingvertrag 4410-2231 Rate;
LENA-000028;CH4400700110001234567;2023-09-15;2023-09-15;50.60;CHF;DBIT;PMNT-CCRD-POSD;Lidl;;;Einkauf Lidl Winterthur Karte xxxx 4821;5411
LENA-000029;CH4400700110001234567;2023-09-15;2023-09-15;13.65;CHF;DBIT;PMNT-CCRD-POSD;Parkingpay;;;Einkauf Parkingpay Zürich Karte xxxx 4821;
LENA-000030;CH4400700110001234567;2023-09-18;2023-09-18;13.95;CHF;DBIT;PMNT-CCRD-POSD;Spotify AB;;;Einkauf Spotify P2F4A1 Stockholm Karte xxxx 4821;5815
LENA-000031;CH4400700110001234567;2023-09-18;2023-09-18;11.95;CHF;DBIT;PMNT-CCRD-POSD;Apotheke Bahnhof;;;Einkauf Apotheke Bahnhof Zürich Karte xxxx 4821;5912
LENA-000032;CH4400700110001234567;2023-09-19;2023-09-19;45.10;CHF;DBIT;PMNT-ICDT-ESCT;;;;TWINT *Sende an Sarah Keller;
