NtryRef;AcctIBAN;BookgDt;ValDt;Amt;Ccy;CdtDbtInd;BkTxCd;CdtrDbtrNm;CdtrDbtrIBAN;RmtInf;AddtlNtryInf;MCC
MARCO_SARA-000000;CH5800761016013456789;2023-09-01;2023-09-01;2450.00;CHF;DBIT;PMNT-ICDT-STDO;Wincasa AG;;;Dauerauftrag Miete 4.5 Zi Mellingerstrasse;
MARCO_SARA-000001;CH5800761016013456789;2023-09-01;2023-09-01;120.00;CHF;DBIT;PMNT-ICDT-STDO;Wincasa AG;;;Dauerauftrag Parkplatz Tiefgarage;
MARCO_SARA-000002;CH5800761016013456789;2023-09-04;2023-09-04;54.15;CHF;DBIT;PMNT-CCRD-POSD;Avia Tankstelle;;;Einkauf Avia Tankstelle Baden Karte xxxx 4821;5541
MARCO_SARA-000003;CH5800761016013456789;2023-09-04;2023-09-04;48.95;CHF;DBIT;PMNT-CCRD-POSD;Migros;;;Einkauf Migros Baden Karte xxxx 4821;5411
MARCO_SARA-000004;CH5800761016013456789;2023-09-04;2023-09-04;36.50;CHF;DBIT;PMNT-CCRD-POSD;Restaurant Roter Turm;;;Einkauf Restaurant Roter Turm Baden Karte xxxx 4821;5812
MARCO_SARA-000005;CH5800761016013456789;2023-09-04;2023-09-04;30.15;CHF;DBIT;PMNT-CCRD-POSD;Coop;;;Einkauf Coop Wettingen Karte xxxx 4821;5411
MARCO_SARA-000006;CH5800761016013456789;2023-09-04;2023-09-04;27.95;CHF;DBIT;PMNT-CCRD-POSD;Denner;;;Einkauf Denner Wettingen Karte xxxx 4821;5411
MARCO_SARA-000007;CH5800761016013456789;2023-09-05;2023-09-05;855.00;CHF;DBIT;PMNT-IDDT-ESDD;CSS Versicherung AG;;;LSV Prämie Grundversicherung Familie;
MARCO_SARA-000008;CH5800761016013456789;2023-09-06;2023-09-06;43.85;CHF;DBIT;PMNT-CCRD-POSD;H&M;;;Einkauf H&M Spreitenbach Karte xxxx 4821;5651
MARCO_SARA-000009;CH5800761016013456789;2023-09-07;2023-09-07;60.70;CHF;DBIT;PMNT-CCRD-POSD;Pizzeria Da Mario;;;Einkauf Pizzeria Da Mario Baden Karte xxxx 4821;5812
