NtryRef;AcctIBAN;BookgDt;ValDt;Amt;Ccy;CdtDbtInd;BkTxCd;CdtrDbtrNm;CdtrDbtrIBAN;RmtInf;AddtlNtryInf;MCC
URS-000000;CH1200778010203040506;2023-09-01;2023-09-01;2650.00;CHF;DBIT;PMNT-ICDT-STDO;Allgemeine Baugenossenschaft Luzern;;;Dauerauftrag Miete Haldenstrasse;
URS-000001;CH1200778010203040506;2023-09-01;2023-09-01;900.00;CHF;DBIT;PMNT-ICDT-STDO;Zimmermann Laura;;;Dauerauftrag Unterhalt Laura;
URS-000002;CH1200778010203040506;2023-09-04;2023-09-04;83.75;CHF;DBIT;PMNT-CCRD-POSD;Avia Tankstelle;;;Einkauf Avia Tankstelle Luzern Karte xxxx 4821;5541
URS-000003;CH1200778010203040506;2023-09-04;2023-09-04;49.25;CHF;DBIT;PMNT-CCRD-POSD;Coop;;;Einkauf Coop Luzern Karte xxxx 4821;5411
URS-000004;CH1200778010203040506;2023-09-04;2023-09-04;137.15;CHF;CRDT;PMNT-RCDT-DMCT;Marktkasse Wochenmarkt Luzern;;;Gutschrift Marktkasse Wochenmarkt Luzern Käseverkauf;
URS-000005;CH1200778010203040506;2023-09-04;2023-09-04;144.25;CHF;CRDT;PMNT-RCDT-DMCT;Marktkasse Wochenmarkt Luzern;;;Gutschrift Marktkasse Wochenmarkt Luzern Käseverkauf;
URS-000006;CH1200778010203040506;2023-09-05;2023-09-05;518.00;CHF;DBIT;PMNT-IDDT-ESDD;Sanitas Grundversicherungen AG;;;LSV Prämie Grundversicherung;
URS-000007;CH1200778010203040506;2023-09-05;2023-09-05;60.85;CHF;DBIT;PMNT-CCRD-POSD;Manor Food;;;Einkauf Manor Food Luzern Karte xxxx 4821;5411
URS-000008;CH1200778010203040506;2023-09-06;2023-09-06;161.95;CHF;DBIT;PMNT-CCRD-POSD;Coop;;;Einkauf Coop Luzern Karte xxxx 4821;5411
URS-000009;CH1200778010203040506;2023-09-06;2023-09-06;53.95;CHF;DBIT;PMNT-CCRD-POSD;Tankstelle Hafen Luzern;;;Einkauf Tankstelle Hafen Luzern Bootsbenzin Karte xxxx 2210;
URS-000010;CH1200778010203040506;2023-09-07;2023-09-07;99.40;CHF;DBIT;PMNT-CCRD-POSD;Old Swiss House;;;Einkauf Old Swiss House Luzern Karte xxxx 4821;5812
URS-000011;CH1200778010203040506;2023-09-07;2023-09-07;84.00;CHF;DBIT;PMNT-CCRD-POSD;Fantasywelt Luzern;;;Einkauf Fantasywelt Luzern Luzern Karte xxxx 4821;5945
URS-000012;CH1200778010203040506;2023-09-08;2023-09-08;108.95;CHF;DBIT;PMNT-CCRD-POSD;Migros;;;Einkauf Migros Luzern Karte xxxx 4821;5411
URS-000013;CH1200778010203040506;2023-09-08;2023-09-08;65.00;CHF;DBIT;PMNT-IDDT-ESDD;Salt Mobile SA;;;LSV Salt Abo;
URS-000014;CH1200778010203040506;2023-09-08;2023-09-08;33.15;CHF;DBIT;PMNT-CCRD-POSD;Coop;;;Einkauf Coop Luzern Karte xxxx 4821;5411
URS-000015;CH1200778010203040506;2023-09-11;2023-09-11;49.00;CHF;DBIT;PMNT-IDDT-ESDD;Swisscom (Schweiz) AG;;;LSV blue TV;
URS-000016;CH1200778010203040506;2023-09-14;2023-09-14;282.95;CHF;DBIT;PMNT-ICDT-DMCT;Himalaya Käse Import GmbH;;;Zahlung Rechnung Yak-Käse Lieferung;
URS-000017;CH1200778010203040506;2023-09-14;2023-09-14;124.25;CHF;DBIT;PMNT-CCRD-POSD;Shell;;;Einkauf Shell Luzern Karte xxxx 4821;5541
URS-000018;CH1200778010203040506;2023-09-14;2023-09-14;31.10;CHF;DBIT;PMNT-CCRD-POSD;Old Swiss House;;;Einkauf Old Swiss House Luzern Karte xxxx 4821;5812
URS-000019;CH1200778010203040506;2023-09-14;2023-09-14;101.00;CHF;CRDT;PMNT-RCDT-ESCT;;;;TWINT *Empfangen von Beat Wicki;
URS-000020;CH1200778010203040506;2023-09-15;2023-09-15;100.30;CHF;DBIT;PMNT-CCRD-POSD;BP Tankstelle;;;Einkauf BP Tankstelle Luzern Karte xxxx 4821;5541
URS-000021;CH1200778010203040506;2023-09-15;2023-09-15;86.70;CHF;DBIT;PMNT-CCRD-POSD;Avia Tankstelle;;;Einkauf Avia Tankstelle Luzern Karte xxxx 4821;5541
URS-000022;CH1200778010203040506;2023-09-18;2023-09-18;160.00;CHF;DBIT;PMNT-CCRD-CWDL;;;;Bargeldbezug Postomat Luzern Bahnhof Karte xxxx 4821;6011
